VENDOR_NAME,NUMBER_OF_STARS,NUM_STARS_CATEGORY,PRODUCT_CATEGORY
RapidMiner,4.6,4.447840395,Predictive Analytics
RapidMiner,4.6,4.447873118,Data Science and Machine Learning Platforms
Salesforce CRM Analytics (formerly Tableau CRM),4.2,4.382201828,Analytics Platforms
SAP Analytics Cloud,4.2,4.382201828,Analytics Platforms
Sigma,4.3,4.366570225,Embedded Business Intelligence
Sigma,4.3,4.41162947,Embedded Business Intelligence Software
Sigma,4.3,4.382201828,Analytics Platforms
Singular,4.4,4.359425797,ETL Tools
Sisense,4.3,4.366570225,Embedded Business Intelligence
Sisense,4.3,4.382201828,Analytics Platforms
Skyvia,4.8,4.359425797,ETL Tools
SnapLogic Intelligent Integration Platform (IIP),4.2,4.359425797,ETL Tools
snowflake,4.5,4.5,Data Clean Room Software
Snowflake,4.5,4.405020997,Columnar Databases
snowflake,4.5,4.402394455,Big Data Processing And Distribution Systems
snowflake,4.5,4.5,Database Management Systems (DBMS)
snowflake,4.5,4.405020997,Columnar Databases
Snowflake,4.5,4.328555352,Data Warehouse
Snowflake,4.5,4.398441109,Big Data Processing and Distribution
snowflake,4.5,4.401182732,Data Warehouse Software
starburst,4.6,4.472857143,Big Data Analytics Software
starburst,4.6,4.401182732,Data Warehouse Software
starburst,4.6,4.402394455,Big Data Processing And Distribution Systems
Stitch Data,4.5,4.359425797,ETL Tools
Supermetrics,4.3,4.359425797,ETL Tools
Tableau,4.4,4.382201828,Analytics Platforms
Tableau,4.4,4.41162947,Embedded Business Intelligence Software
Tableau Desktop,4.4,4.366570225,Embedded Business Intelligence
Tableau Desktop,4.4,4.382201828,Analytics Platforms
Tableau Server,4.2,4.382201828,Analytics Platforms
Tableau Server,4.2,4.366570225,Embedded Business Intelligence
Talend Data Integration,4,4.374205894,On-Premise Data Integration
Talend Data Integration,4,4.289707401,Data Replication
Talend Data Integration,4,4,Data Mapping
Talend Data Integration,4,4.359425797,ETL Tools
Teradata Vantage,4.2,4.398441109,Big Data Processing and Distribution
Teradata Vantage,4.2,4.328555352,Data Warehouse
ThoughtSpot,4.4,4.41240115,Digital Analytics
ThoughtSpot,4.4,4.382201828,Analytics Platforms
ThoughtSpot,4.4,4.366570225,Embedded Business Intelligence
Trifacta,4.4,4.401626016,Data Preparation Software
Trifacta,4.4,4.548971193,iPaaS Software
Trifacta,4.4,4.359425797,ETL Tools
Trifacta,4.4,4.4,Data Quality Software
Veeam Backup & Replication,4.6,4.289707401,Data Replication
Vertica,4.3,4.405020997,Columnar Databases
Vertica,4.3,4.401182732,Data Warehouse Software
Vertica,4.3,4.402394455,Big Data Processing And Distribution Systems
Vertica,4.3,4.328555352,Data Warehouse
Vertica,4.3,4.398441109,Big Data Processing and Distribution
Workato,4.7,4.359425797,ETL Tools
Zapier,4.5,4.548780488,iPaaS
Zoho Analytics,4.2,4.362954545,Sales Analytics
Zoho Analytics,4.2,4.366570225,Embedded Business Intelligence
Zoho Analytics,4.2,4.382201828,Analytics Platforms
